Time,PHWS(deg F)
8:30 AM,164.02126
9:00:00 AM,165.76756
9:30:00 AM,162.52713
10:00:00 AM,155.49315
10:30:00 AM,150.04692
11:00:00 AM,141.54242
11:30:00 AM,140.29007
12:00:00 PM,140.29007
12:30:00 PM,140.29007
1:00:00 PM,139.99046
1:30:00 PM,139.69159
2:00:00 PM,139.39175
2:30:00 PM,138.79541
3:00:00 PM,138.49057
3:30:00 PM,137.88199
4:00:00 PM,137.57477
4:30:00 PM,136.96376
5:00:00 PM,136.66112
5:30:00 PM,136.3514
6:00:00 PM,136.04933
6:30:00 PM,135.43932
7:00:00 PM,135.1392
7:30:00 PM,134.5331
8:00:00 PM,134.22893
8:30:00 PM,133.92404
9:00:00 PM,133.32356
9:30:00 PM,133.02008
10:00:00 PM,132.72281
10:30:00 PM,132.10257
11:00:00 PM,131.79837
11:30:00 PM,131.19208
12:00:00 AM,130.89445
12:30:00 AM,130.5933
1:00:00 AM,131.9293
1:30:00 AM,173.8911
2:00:00 AM,178.2704
2:30:00 AM,166.61356
3:00:00 AM,178.87103
3:30:00 AM,172.55469
4:00:00 AM,169.36742
4:30:00 AM,178.80565
5:00:00 AM,169.94887
5:30:00 AM,173.97499
6:00:00 AM,174.1368
6:30:00 AM,167.47017
7:00:00 AM,178.96991
7:30:00 AM,167.38866
8:00:00 AM,176.65701
